ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER
10141,S18_2319,Suominen Souveniers,Espoo,Finland,EMEA,Medium,8
10151,S18_2319,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium,6
10165,S18_2319,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,15
10175,S18_2319,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,4
10184,S18_2319,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Medium,9
10195,S18_2319,Mini Classics,White Plains,USA,NA,Medium,9
10207,S18_2319,Diecast Collectables,Boston,USA,NA,Medium,10
10229,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,4
10246,S18_2319,Euro Shopping Channel,Madrid,Spain,EMEA,Small,8
10259,S18_2319,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,7
10271,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,8
10281,S18_2319,Diecast Classics Inc.,Allentown,USA,NA,Medium,4
10292,S18_2319,Land of Toys Inc.,NYC,USA,NA,Medium,11
10305,S18_2319,Marta's Replicas Co.,Cambridge,USA,NA,Medium,8
10313,S18_2319,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,2
10324,S18_2319,Vitachrome Inc.,NYC,USA,NA,Small,10
10334,S18_2319,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium,6
10349,S18_2319,Muscle Machine Inc,NYC,USA,NA,Medium,7
10358,S18_2319,Euro Shopping Channel,Madrid,Spain,EMEA,Small,11
10370,S18_2319,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,5
10383,S18_2319,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,11
10412,S18_2319,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,8
10425,S18_2319,La Rochelle Gifts,Nantes,France,EMEA,Medium,7
10101,S18_2325,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Medium,4
10110,S18_2325,"AV Stores, Co.",Manchester,UK,EMEA,Medium,4
10124,S18_2325,Signal Gift Stores,Las Vegas,USA,NA,Medium,3
10149,S18_2325,Signal Collectibles Ltd.,Brisbane,USA,NA,Medium,8
10162,S18_2325,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,6
10173,S18_2325,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,10
10182,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,7
10193,S18_2325,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Medium,11
10204,S18_2325,Muscle Machine Inc,NYC,USA,NA,Medium,1
10214,S18_2325,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,4
10227,S18_2325,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large,7
10243,S18_2325,Diecast Collectables,Boston,USA,NA,Medium,2
10280,S18_2325,Amica Models & Co.,Torino,Italy,EMEA,Medium,13
10288,S18_2325,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,2
10304,S18_2325,Auto Assoc. & Cie.,Versailles,France,EMEA,Small,17
10312,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,14
10322,S18_2325,Online Diecast Creations Co.,Nashua,USA,NA,Large,6
10332,S18_2325,"AV Stores, Co.",Manchester,UK,EMEA,Small,8
10344,S18_2325,Marseille Mini Autos,Marseille,France,EMEA,Medium,3
10356,S18_2325,Lyon Souveniers,Paris,France,EMEA,Medium,3
10367,S18_2325,Toys4GrownUps.com,Pasadena,USA,NA,Medium,5
10380,S18_2325,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,10
10390,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,16
10409,S18_2325,Handji Gifts& Co,Singapore,Singapore,APAC,Small,2
10420,S18_2325,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,2
10103,S18_2432,Baane Mini Imports,Stavern,Norway,EMEA,Small,2
10114,S18_2432,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,6
10126,S18_2432,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,2
10140,S18_2432,Technics Stores Inc.,Burlingame,USA,NA,Small,2
10151,S18_2432,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Small,9
10165,S18_2432,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Small,18
10175,S18_2432,"Stylish Desk Decors, Co.",London,UK,EMEA,Small,7
10184,S18_2432,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Small,12
10194,S18_2432,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,2
10207,S18_2432,Diecast Collectables,Boston,USA,NA,Small,13
10217,S18_2432,Handji Gifts& Co,Singapore,Singapore,APAC,Small,2
10229,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,7
10246,S18_2432,Euro Shopping Channel,Madrid,Spain,EMEA,Small,11
10259,S18_2432,Handji Gifts& Co,Singapore,Singapore,APAC,Small,10
10271,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,11
10281,S18_2432,Diecast Classics Inc.,Allentown,USA,NA,Small,7
10291,S18_2432,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,2
10305,S18_2432,Marta's Replicas Co.,Cambridge,USA,NA,Small,11
10313,S18_2432,Canadian Gift Exchange Network,Vancouver,Canada,NA,Small,5
10322,S18_2432,Online Diecast Creations Co.,Nashua,USA,NA,Small,11
10334,S18_2432,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Small,1
10347,S18_2432,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,8
10357,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,7
10370,S18_2432,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,7
10381,S18_2432,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,7
10391,S18_2432,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,5
10412,S18_2432,Euro Shopping Channel,Madrid,Spain,EMEA,Small,11
10425,S18_2432,La Rochelle Gifts,Nantes,France,EMEA,Small,10
10106,S18_2581,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,2
10120,S18_2581,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,8
10133,S18_2581,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,3
10145,S18_2581,Toys4GrownUps.com,Pasadena,USA,NA,Small,14
10168,S18_2581,Technics Stores Inc.,Burlingame,USA,NA,Small,9
10210,S18_2581,Osaka Souveniers Co.,Osaka,Japan,Japan,Medium,7
10223,S18_2581,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,9
10235,S18_2581,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Small,3
10250,S18_2581,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,4
10263,S18_2581,Gift Depot Inc.,Bridgewater,USA,NA,Small,10
10275,S18_2581,La Rochelle Gifts,Nantes,France,EMEA,Medium,9
10284,S18_2581,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Small,1
10297,S18_2581,"Clover Collections, Co.",Dublin,Ireland,EMEA,Small,4
10308,S18_2581,Mini Classics,White Plains,USA,NA,Small,7
10318,S18_2581,Diecast Classics Inc.,Allentown,USA,NA,Medium,9
10327,S18_2581,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,8
10339,S18_2581,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,2
10353,S18_2581,Gift Ideas Corp.,Glendale,USA,NA,Medium,1
10374,S18_2581,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Small,2
10386,S18_2581,Euro Shopping Channel,Madrid,Spain,EMEA,Small,18
10398,S18_2581,Reims Collectables,Reims,France,EMEA,Small,15
10401,S18_2581,Tekni Collectables Inc.,Newark,USA,NA,Medium,3
10416,S18_2581,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,4
10107,S18_2625,Land of Toys Inc.,NYC,USA,NA,Small,6
10120,S18_2625,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,4
10134,S18_2625,Lyon Souveniers,Paris,France,EMEA,Small,6
10145,S18_2625,Toys4GrownUps.com,Pasadena,USA,NA,Small,10
10159,S18_2625,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,18
10168,S18_2625,Technics Stores Inc.,Burlingame,USA,NA,Small,5
10180,S18_2625,Daedalus Designs Imports,Lille,France,EMEA,Small,13
10188,S18_2625,Herkku Gifts,Bergen,Norway,EMEA,Small,5
10201,S18_2625,Mini Wheels Co.,San Francisco,USA,NA,Small,6
10210,S18_2625,Osaka Souveniers Co.,Osaka,Japan,Japan,Small,3
10223,S18_2625,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,5
10236,S18_2625,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Small,2
10251,S18_2625,Tekni Collectables Inc.,Newark,USA,NA,Small,6
10263,S18_2625,Gift Depot Inc.,Bridgewater,USA,NA,Small,6
10275,S18_2625,La Rochelle Gifts,Nantes,France,EMEA,Small,5
10285,S18_2625,Marta's Replicas Co.,Cambridge,USA,NA,Small,10
10298,S18_2625,Atelier graphique,Nantes,France,EMEA,Small,2
10308,S18_2625,Mini Classics,White Plains,USA,NA,Small,3
10318,S18_2625,Diecast Classics Inc.,Allentown,USA,NA,Small,5
10329,S18_2625,Land of Toys Inc.,NYC,USA,NA,Medium,12
10339,S18_2625,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small,1
10362,S18_2625,Technics Stores Inc.,Burlingame,USA,NA,Small,3
10374,S18_2625,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Small,4
10389,S18_2625,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,5
10402,S18_2625,Auto Canal Petit,Paris,France,EMEA,Medium,2
10417,S18_2625,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10101,S18_2795,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Medium,1
10110,S18_2795,"AV Stores, Co.",Manchester,UK,EMEA,Medium,1
10125,S18_2795,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,2
10139,S18_2795,Souveniers And Things Co.,Chatswood,Australia,APAC,Large,8
10149,S18_2795,Signal Collectibles Ltd.,Brisbane,USA,NA,Medium,5
10162,S18_2795,Corporate Gift Ideas Co.,San Francisco,USA,NA,Large,3
10173,S18_2795,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,7
10182,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,4
10193,S18_2795,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Medium,8
10205,S18_2795,Euro Shopping Channel,Madrid,Spain,EMEA,Large,3
10214,S18_2795,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Large,1
10227,S18_2795,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,4
10244,S18_2795,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,8
10255,S18_2795,Mini Caravy,Strasbourg,France,EMEA,Medium,1
10280,S18_2795,Amica Models & Co.,Torino,Italy,EMEA,Medium,10
10289,S18_2795,Herkku Gifts,Bergen,Norway,EMEA,Large,3
10304,S18_2795,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium,14
10312,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,11
10322,S18_2795,Online Diecast Creations Co.,Nashua,USA,NA,Medium,2
10332,S18_2795,"AV Stores, Co.",Manchester,UK,EMEA,Small,1
10347,S18_2795,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,6
10356,S18_2795,Lyon Souveniers,Paris,France,EMEA,Medium,1
10367,S18_2795,Toys4GrownUps.com,Pasadena,USA,NA,Medium,7
10380,S18_2795,Euro Shopping Channel,Madrid,Spain,EMEA,Small,8
10390,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,7
10421,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,1
10109,S18_2870,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Medium,1
10123,S18_2870,Atelier graphique,Nantes,France,EMEA,Medium,3
10137,S18_2870,Reims Collectables,Reims,France,EMEA,Medium,3
10148,S18_2870,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,10
10161,S18_2870,Heintze Collectables,Aaarhus,Denmark,EMEA,Medium,9
10172,S18_2870,Gift Depot Inc.,Bridgewater,USA,NA,Medium,7
10181,S18_2870,Herkku Gifts,Bergen,Norway,EMEA,Medium,3
10192,S18_2870,Online Diecast Creations Co.,Nashua,USA,NA,Medium,8
10204,S18_2870,Muscle Machine Inc,NYC,USA,NA,Medium,14
10212,S18_2870,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,7
10226,S18_2870,Collectable Mini Designs Co.,San Diego,USA,NA,Medium,5
10241,S18_2870,Mini Caravy,Strasbourg,France,EMEA,Medium,12
10253,S18_2870,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium,2
10266,S18_2870,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Small,3
10278,S18_2870,Signal Gift Stores,Las Vegas,USA,NA,Medium,3
10287,S18_2870,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,1
10301,S18_2870,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Medium,5
10311,S18_2870,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,10
10321,S18_2870,FunGiftIdeas.com,New Bedford,USA,NA,Small,7
10331,S18_2870,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Small,10
10343,S18_2870,Reims Collectables,Reims,France,EMEA,Small,3
10366,S18_2870,Royale Belge,Charleroi,Belgium,EMEA,Medium,2
10379,S18_2870,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,5
10407,S18_2870,The Sharp Gifts Warehouse,San Jose,USA,NA,Medium,12
10419,S18_2870,Salzburg Collectables,Salzburg,Austria,EMEA,Large,2
10103,S18_2949,Baane Mini Imports,Stavern,Norway,EMEA,Small,12
10112,S18_2949,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Small,2
10126,S18_2949,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,12
10139,S18_2949,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,1
10150,S18_2949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,9
10163,S18_2949,Classic Legends Inc.,NYC,USA,NA,Medium,2
10174,S18_2949,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,5
10183,S18_2949,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium,9
10193,S18_2949,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Small,1
10206,S18_2949,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,7
10215,S18_2949,West Coast Collectables Co.,Burbank,USA,NA,Medium,4
10228,S18_2949,Cambridge Collectables Co.,Cambridge,USA,NA,Small,3
10244,S18_2949,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10257,S18_2949,The Sharp Gifts Warehouse,San Jose,USA,NA,Medium,1
10270,S18_2949,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,10
10280,S18_2949,Amica Models & Co.,Torino,Italy,EMEA,Medium,3
10291,S18_2949,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,12
10304,S18_2949,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium,7
10312,S18_2949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,4
10322,S18_2949,Online Diecast Creations Co.,Nashua,USA,NA,Medium,12
10333,S18_2949,Mini Wheels Co.,San Francisco,USA,NA,Small,5
10347,S18_2949,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,9
10357,S18_2949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,6
10369,S18_2949,Collectables For Less Inc.,Brickhaven,USA,NA,Medium,1
10381,S18_2949,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,8
10391,S18_2949,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,6
10423,S18_2949,Petit Auto,Bruxelles,Belgium,EMEA,Small,1
10103,S18_2957,Baane Mini Imports,Stavern,Norway,EMEA,Small,14
10111,S18_2957,Mini Wheels Co.,San Francisco,USA,NA,Small,2
10126,S18_2957,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,14
10139,S18_2957,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,3
10150,S18_2957,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Small,11
10163,S18_2957,Classic Legends Inc.,NYC,USA,NA,Medium,4
10173,S18_2957,Rovelli Gifts,Bergamo,Italy,EMEA,Small,2
10183,S18_2957,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Small,11
10193,S18_2957,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Small,3
10206,S18_2957,Canadian Gift Exchange Network,Vancouver,Canada,NA,Small,9
10215,S18_2957,West Coast Collectables Co.,Burbank,USA,NA,Small,6
10228,S18_2957,Cambridge Collectables Co.,Cambridge,USA,NA,Small,5
10244,S18_2957,Euro Shopping Channel,Madrid,Spain,EMEA,Small,3
10257,S18_2957,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,3
10269,S18_2957,Salzburg Collectables,Salzburg,Austria,EMEA,Small,1
10280,S18_2957,Amica Models & Co.,Torino,Italy,EMEA,Small,5
10291,S18_2957,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,14
10304,S18_2957,Auto Assoc. & Cie.,Versailles,France,EMEA,Small,9
10312,S18_2957,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Small,6
10322,S18_2957,Online Diecast Creations Co.,Nashua,USA,NA,Small,13
10332,S18_2957,"AV Stores, Co.",Manchester,UK,EMEA,Small,17
10347,S18_2957,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,10
10357,S18_2957,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,5
10369,S18_2957,Collectables For Less Inc.,Brickhaven,USA,NA,Small,6
10381,S18_2957,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small,4
10392,S18_2957,Mini Auto Werke,Graz,Austria,EMEA,Small,3
10423,S18_2957,Petit Auto,Bruxelles,Belgium,EMEA,Small,3
10106,S18_3029,Rovelli Gifts,Bergamo,Italy,EMEA,Medium,18
10119,S18_3029,Salzburg Collectables,Salzburg,Austria,EMEA,Small,9
10130,S18_3029,Auto-Moto Classics Inc.,Brickhaven,USA,NA,Medium,2
10143,S18_3029,Mini Creations Ltd.,New Bedford,USA,NA,Medium,13
10155,S18_3029,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,11
10167,S18_3029,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,7
10178,S18_3029,Alpha Cognac,Toulouse,France,EMEA,Medium,10
10186,S18_3029,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Small,7
10197,S18_3029,Enaco Distributors,Barcelona,Spain,EMEA,Medium,4
10209,S18_3029,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Small,6
10222,S18_3029,Collectable Mini Designs Co.,San Diego,USA,NA,Medium,10
10248,S18_3029,Land of Toys Inc.,NYC,USA,NA,Small,1
10262,S18_3029,Euro Shopping Channel,Madrid,Spain,EMEA,Small,15
10273,S18_3029,Petit Auto,Bruxelles,Belgium,EMEA,Medium,2
10283,S18_3029,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Small,4
10296,S18_3029,"Bavarian Collectables Imports, Co.",Munich,Germany,EMEA,Small,13
10307,S18_3029,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Small,7
10316,S18_3029,giftsbymail.co.uk,Cowes,UK,EMEA,Small,15
10327,S18_3029,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Small,5
10338,S18_3029,Royale Belge,Charleroi,Belgium,EMEA,Small,3
10350,S18_3029,Euro Shopping Channel,Madrid,Spain,EMEA,Small,6
10373,S18_3029,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Small,5
10386,S18_3029,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,5
10398,S18_3029,Reims Collectables,Reims,France,EMEA,Small,18
10400,S18_3029,The Sharp Gifts Warehouse,San Jose,USA,NA,Small,7
10414,S18_3029,Gifts4AllAges.com,Boston,USA,NA,Medium,1
10103,S18_3136,Baane Mini Imports,Stavern,Norway,EMEA,Small,13
10111,S18_3136,Mini Wheels Co.,San Francisco,USA,NA,Medium,1
10126,S18_3136,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small,13
10139,S18_3136,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,2
10150,S18_3136,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Small,10
10163,S18_3136,Classic Legends Inc.,NYC,USA,NA,Medium,3
10173,S18_3136,Rovelli Gifts,Bergamo,Italy,EMEA,Small,1
10183,S18_3136,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Small,10
10193,S18_3136,"Australian Collectables, Ltd",Glen Waverly,Australia,APAC,Small,2
10206,S18_3136,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,8
10215,S18_3136,West Coast Collectables Co.,Burbank,USA,NA,Medium,5
10228,S18_3136,Cambridge Collectables Co.,Cambridge,USA,NA,Medium,4
10244,S18_3136,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,2
10257,S18_3136,The Sharp Gifts Warehouse,San Jose,USA,NA,Medium,2
10270,S18_3136,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,11
10280,S18_3136,Amica Models & Co.,Torino,Italy,EMEA,Medium,4
10291,S18_3136,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small,13
10304,S18_3136,Auto Assoc. & Cie.,Versailles,France,EMEA,Small,8
10312,S18_3136,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,5
10322,S18_3136,Online Diecast Creations Co.,Nashua,USA,NA,Small,7
10332,S18_3136,"AV Stores, Co.",Manchester,UK,EMEA,Small,18
10347,S18_3136,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,11
10357,S18_3136,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,4
10369,S18_3136,Collectables For Less Inc.,Brickhaven,USA,NA,Small,5
10381,S18_3136,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,5
10392,S18_3136,Mini Auto Werke,Graz,Austria,EMEA,Small,2
10423,S18_3136,Petit Auto,Bruxelles,Belgium,EMEA,Small,2
10105,S18_3140,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium,11
10117,S18_3140,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium,5
10128,S18_3140,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,2
10142,S18_3140,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,8
10153,S18_3140,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,7
10166,S18_3140,FunGiftIdeas.com,New Bedford,USA,NA,Medium,2
10177,S18_3140,CAF Imports,Madrid,Spain,EMEA,Medium,9
10185,S18_3140,Mini Creations Ltd.,New Bedford,USA,NA,Medium,9
10196,S18_3140,Super Scale Inc.,New Haven,USA,NA,Medium,1
10208,S18_3140,"Saveley & Henriot, Co.",Lyon,France,EMEA,Small,9
10221,S18_3140,Petit Auto,Bruxelles,Belgium,EMEA,Medium,3
10232,S18_3140,giftsbymail.co.uk,Cowes,UK,EMEA,Medium,6
10248,S18_3140,Land of Toys Inc.,NYC,USA,NA,Medium,12
10273,S18_3140,Petit Auto,Bruxelles,Belgium,EMEA,Medium,13
10282,S18_3140,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,1
10293,S18_3140,Amica Models & Co.,Torino,Italy,EMEA,Small,4
10306,S18_3140,"AV Stores, Co.",Manchester,UK,EMEA,Medium,9
10314,S18_3140,Heintze Collectables,Aaarhus,Denmark,EMEA,Small,1
10325,S18_3140,Baane Mini Imports,Stavern,Norway,EMEA,Small,9
10336,S18_3140,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,12
10350,S18_3140,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,1
10372,S18_3140,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium,3
10383,S18_3140,Euro Shopping Channel,Madrid,Spain,EMEA,Small,9
10396,S18_3140,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,2
10414,S18_3140,Gifts4AllAges.com,Boston,USA,NA,Medium,12
10104,S18_3232,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,13
10109,S18_3232,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Large,5
10114,S18_3232,"La Corne D'abondance, Co.",Paris,France,EMEA,Large,4
10122,S18_3232,Marseille Mini Autos,Marseille,France,EMEA,Medium,3
10127,S18_3232,Muscle Machine Inc,NYC,USA,NA,Medium,15
10136,S18_3232,Alpha Cognac,Toulouse,France,EMEA,Large,3
10141,S18_3232,Suominen Souveniers,Espoo,Finland,EMEA,Medium,9
10148,S18_3232,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium,14
10151,S18_3232,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium,7
10160,S18_3232,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Medium,1
10165,S18_3232,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Large,16
10171,S18_3232,Quebec Home Shopping Network,Montreal,Canada,NA,Medium,3
10175,S18_3232,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,5
10181,S18_3232,Herkku Gifts,Bergen,Norway,EMEA,Medium,7
10184,S18_3232,"Iberia Gift Imports, Corp.",Sevilla,Spain,EMEA,Medium,10
10192,S18_3232,Online Diecast Creations Co.,Nashua,USA,NA,Medium,12
10195,S18_3232,Mini Classics,White Plains,USA,NA,Large,10
10203,S18_3232,Euro Shopping Channel,Madrid,Spain,EMEA,Large,1
10207,S18_3232,Diecast Collectables,Boston,USA,NA,Medium,11
10212,S18_3232,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,11
10225,S18_3232,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,2
10229,S18_3232,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,5
10239,S18_3232,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Large,1
10246,S18_3232,Euro Shopping Channel,Madrid,Spain,EMEA,Large,9
10253,S18_3232,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium,6
10259,S18_3232,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,8
10266,S18_3232,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Medium,7
10271,S18_3232,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium,9
10278,S18_3232,Signal Gift Stores,Las Vegas,USA,NA,Medium,7
10281,S18_3232,Diecast Classics Inc.,Allentown,USA,NA,Medium,5
10287,S18_3232,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium,5
10292,S18_3232,Land of Toys Inc.,NYC,USA,NA,Small,12
10301,S18_3232,"Norway Gifts By Mail, Co.",Oslo,Norway,EMEA,Medium,9
10305,S18_3232,Marta's Replicas Co.,Cambridge,USA,NA,Large,9
10310,S18_3232,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Large,3
10313,S18_3232,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium,3
10321,S18_3232,FunGiftIdeas.com,New Bedford,USA,NA,Medium,11
